epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,312.456,1.27031,2.90723,1.09174,1.53974,0.71754,0.69474,0.7262,0.45287,0.9,0.5684,0.63869,0.32423,1.33569,2.78436,1.15225,1.82857,0.0009704,0.0009704,0.0009704
54,318.338,1.16633,2.85271,1.0302,1.44427,0.70359,0.61053,0.66782,0.34857,0.74945,0.53684,0.61714,0.31263,1.44346,2.91575,1.29667,1.91856,0.0009506,0.0009506,0.0009506
55,324.228,1.14949,2.79667,1.00007,1.41978,0.71866,0.67224,0.72116,0.41498,0.80093,0.44211,0.53588,0.27997,1.39988,2.99654,1.19465,1.84708,0.0009308,0.0009308,0.0009308
56,330.033,1.13549,2.81441,1.00669,1.39249,0.75736,0.69474,0.73961,0.45,0.71116,0.62105,0.66571,0.34318,1.37846,2.69813,1.06572,1.9036,0.000911,0.000911,0.000911
57,335.934,1.10478,2.75318,0.97477,1.36781,0.78928,0.67032,0.73446,0.4461,0.79903,0.62105,0.66558,0.33125,1.36009,2.95457,1.10557,1.90585,0.0008912,0.0008912,0.0008912
58,341.728,1.13362,2.75253,0.97852,1.40783,0.83822,0.70906,0.79001,0.46978,0.7817,0.61053,0.65624,0.33986,1.35992,2.84261,1.10569,1.88048,0.0008714,0.0008714,0.0008714
59,347.66,1.12165,2.75762,0.98333,1.41336,0.72414,0.74737,0.79473,0.4715,0.6442,0.66316,0.66096,0.35392,1.29474,2.77339,1.10499,1.77891,0.0008516,0.0008516,0.0008516
60,353.742,1.13388,2.79357,1.0142,1.3904,0.8016,0.69474,0.78117,0.50666,0.83639,0.63158,0.72004,0.37863,1.16842,2.69817,1.02574,1.64527,0.0008318,0.0008318,0.0008318
61,359.679,1.14334,2.73407,0.99937,1.39583,0.83586,0.69687,0.77671,0.51047,0.84984,0.62105,0.67831,0.3843,1.15941,2.64326,0.92262,1.64258,0.000812,0.000812,0.000812
62,365.626,1.09048,2.722,0.9283,1.3728,0.83138,0.73684,0.77487,0.50812,0.84728,0.64211,0.70644,0.37609,1.20239,2.54067,0.98302,1.69583,0.0007922,0.0007922,0.0007922
63,371.389,1.13727,2.75116,0.96728,1.39936,0.81006,0.73684,0.77765,0.49401,0.82519,0.646,0.71212,0.38092,1.2478,2.64429,0.98887,1.74537,0.0007724,0.0007724,0.0007724
64,377.172,1.13048,2.80508,0.97782,1.39784,0.88581,0.67368,0.78895,0.50078,0.91024,0.64048,0.74822,0.3934,1.23287,2.66816,0.96977,1.71321,0.0007526,0.0007526,0.0007526
65,383.153,1.18621,2.80185,0.98104,1.42222,0.84131,0.72547,0.79684,0.49493,0.82769,0.6,0.70311,0.3572,1.20942,2.77934,0.97989,1.67438,0.0007328,0.0007328,0.0007328
66,389.05,1.02133,2.60065,0.88135,1.32074,0.82309,0.71579,0.81148,0.51284,0.76325,0.67872,0.73827,0.39139,1.12637,2.65097,0.94425,1.59806,0.000713,0.000713,0.000713
67,394.97,1.03004,2.64019,0.87907,1.32858,0.82034,0.69474,0.78637,0.5231,0.82654,0.65205,0.7301,0.38522,1.14186,2.72937,0.96206,1.61901,0.0006932,0.0006932,0.0006932
68,400.844,1.11213,2.76074,0.93987,1.38649,0.81834,0.71579,0.8185,0.54274,0.78456,0.69002,0.74573,0.39289,1.17195,2.59948,0.92156,1.62552,0.0006734,0.0006734,0.0006734
69,406.767,1.02372,2.58429,0.87907,1.32629,0.76042,0.75789,0.80159,0.54141,0.83261,0.62835,0.72839,0.37973,1.14047,2.74722,0.88274,1.58701,0.0006536,0.0006536,0.0006536
70,412.528,1.00303,2.5292,0.85796,1.31263,0.84767,0.72632,0.80376,0.53114,0.81154,0.67995,0.73964,0.39343,1.16203,2.5914,0.85866,1.60073,0.0006338,0.0006338,0.0006338
71,418.477,1.03468,2.5677,0.86556,1.33424,0.78259,0.75789,0.81294,0.55064,0.81161,0.65263,0.74523,0.41618,1.12707,2.48512,0.83318,1.56298,0.000614,0.000614,0.000614
72,425.5,0.99527,2.48157,0.81398,1.31295,0.86207,0.72632,0.82015,0.53683,0.83691,0.70526,0.77456,0.41635,1.09918,2.44582,0.85348,1.56849,0.0005942,0.0005942,0.0005942
73,431.355,1.00531,2.51407,0.85088,1.30739,0.81984,0.71853,0.80332,0.50645,0.81444,0.67368,0.72239,0.40224,1.21055,2.51401,0.91664,1.64388,0.0005744,0.0005744,0.0005744
74,437.137,0.99743,2.54824,0.84954,1.3314,0.84256,0.73234,0.82225,0.53143,0.78281,0.68294,0.71015,0.4012,1.1488,2.47747,0.87905,1.62989,0.0005546,0.0005546,0.0005546
75,442.97,1.00447,2.51163,0.85066,1.316,0.8125,0.70526,0.79421,0.53737,0.77553,0.67368,0.73198,0.40734,1.09377,2.50535,0.86832,1.54297,0.0005348,0.0005348,0.0005348
76,448.891,1.02344,2.46909,0.8677,1.35751,0.82716,0.72632,0.81662,0.56133,0.82872,0.71306,0.76604,0.42943,1.07074,2.42854,0.82825,1.54688,0.000515,0.000515,0.000515
77,454.749,1.00033,2.48709,0.84781,1.33826,0.81484,0.77895,0.842,0.57771,0.77445,0.75902,0.77463,0.42134,1.07441,2.39572,0.81647,1.56842,0.0004952,0.0004952,0.0004952
78,460.652,0.95724,2.38591,0.82848,1.30618,0.8987,0.74737,0.85065,0.5983,0.8858,0.73684,0.80972,0.44225,1.0284,2.34861,0.79917,1.49892,0.0004754,0.0004754,0.0004754
79,466.523,0.94427,2.40338,0.79688,1.2928,0.86278,0.76842,0.85199,0.59368,0.8671,0.75789,0.8134,0.44543,0.98281,2.43118,0.77601,1.45512,0.0004556,0.0004556,0.0004556
80,472.362,0.98192,2.5247,0.81894,1.2985,0.85727,0.74737,0.8527,0.59206,0.85289,0.74737,0.80444,0.43259,1.02192,2.39815,0.7777,1.46923,0.0004358,0.0004358,0.0004358
81,478.192,0.99905,2.48235,0.85648,1.29935,0.82663,0.76842,0.85155,0.6092,0.80439,0.74737,0.78163,0.42261,0.98818,2.40725,0.74286,1.46019,0.000416,0.000416,0.000416
82,484.081,0.96696,2.47533,0.82318,1.28798,0.87698,0.74737,0.8677,0.62118,0.88092,0.69474,0.79912,0.43089,0.95691,2.35944,0.72384,1.45109,0.0003962,0.0003962,0.0003962
83,490.017,0.86496,2.32132,0.74116,1.23517,0.85668,0.8,0.85945,0.60732,0.87656,0.70526,0.79706,0.44621,0.94772,2.40618,0.74797,1.42407,0.0003764,0.0003764,0.0003764
84,495.953,0.91356,2.36958,0.78911,1.2653,0.85095,0.84211,0.86374,0.61937,0.82974,0.76949,0.81138,0.45412,0.94376,2.39041,0.73324,1.40654,0.0003566,0.0003566,0.0003566
85,501.845,0.91015,2.28837,0.74889,1.25932,0.90193,0.77895,0.86571,0.63036,0.87481,0.73684,0.78377,0.45834,0.95388,2.33198,0.73191,1.43328,0.0003368,0.0003368,0.0003368
